"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"103";"13/4";2019-04-13;0;314221623,65;2020-04-13;10666094,15;334706492,41;2021-04-13;34883,49;351281019,6;2022-04-13;8403254,59;471084949,07;34,1048684060469
"104";"14/4";2019-04-14;0;314221623,65;2020-04-14;234829,38;334941321,79;2021-04-14;114509,04;351395528,64;2022-04-14;712322,77;471797271,84;34,2638802679103
"105";"15/4";2019-04-15;87175,68;314308799,33;2020-04-15;240342,56;335181664,35;2021-04-15;151848,35;351547376,99;2022-04-15;0;471797271,84;34,2058859547175
"106";"16/4";2019-04-16;59100,57;314367899,9;2020-04-16;182057,11;335363721,46;2021-04-16;14210,65;351561587,64;2022-04-16;0;471797271,84;34,2004611502442
"107";"17/4";2019-04-17;15608,26;314383508,16;2020-04-17;531806,55;335895528,01;2021-04-17;0;351561587,64;2022-04-17;0;471797271,84;34,2004611502442
"108";"18/4";2019-04-18;967247,5;315350755,66;2020-04-18;0;335895528,01;2021-04-18;0;351561587,64;2022-04-18;753313,96;472550585,8;34,41473767717
"109";"19/4";2019-04-19;0;315350755,66;2020-04-19;0;335895528,01;2021-04-19;773988,52;352335576,16;2022-04-19;48694,73;472599280,53;34,1332844331867
"110";"20/4";2019-04-20;0;315350755,66;2020-04-20;123455,94;336018983,95;2021-04-20;223754,2;352559330,36;2022-04-20;549723,44;473149003,97;34,2040794912066
"111";"21/4";2019-04-21;0;315350755,66;2020-04-21;0;336018983,95;2021-04-21;0;352559330,36;2022-04-21;0;473149003,97;34,2040794912066
"112";"22/4";2019-04-22;913978,47;316264734,13;2020-04-22;37226;336056209,95;2021-04-22;10501,16;352569831,52;2022-04-22;12434,12;473161438,09;34,2036089843834
"113";"23/4";2019-04-23;187588,83;316452322,96;2020-04-23;34097,83;336090307,78;2021-04-23;34364,16;352604195,68;2022-04-23;0;473161438,09;34,1905297461093
"114";"24/4";2019-04-24;410317,11;316862640,07;2020-04-24;9190986,1;345281293,88;2021-04-24;0;352604195,68;2022-04-24;0;473161438,09;34,1905297461093
"115";"25/4";2019-04-25;4864972,63;321727612,7;2020-04-25;0;345281293,88;2021-04-25;0;352604195,68;2022-04-25;4505179,03;477666617,12;35,4682170468267
"116";"26/4";2019-04-26;22920386,82;344647999,52;2020-04-26;0;345281293,88;2021-04-26;8920753,36;361524949,04;2022-04-26;39897,54;477706514,66;32,1365277634395
"117";"27/4";2019-04-27;0;344647999,52;2020-04-27;314340,26;345595634,14;2021-04-27;87441,24;361612390,28;2022-04-27;42788537,59;520495052,25;43,9372837437831
"118";"28/4";2019-04-28;0;344647999,52;2020-04-28;11803294,72;357398928,86;2021-04-28;20653884,47;382266274,75;2022-04-28;188027,29;520683079,54;36,2095256455788
