"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"322";"18/11";2019-11-18;751857;913335435,9;2020-11-18;6120660,09;946822676,54;2021-11-18;652254,68;1195785853,36;2022-11-18;92722,5;952300629,34;-20,3619421768403
"323";"19/11";2019-11-19;533204,74;913868640,64;2020-11-19;81121,39;946903797,93;2021-11-19;129327,45;1195915180,81;2022-11-19;0;952300629,34;-20,3705543151479
"324";"20/11";2019-11-20;159227,64;914027868,28;2020-11-20;281233,73;947185031,66;2021-11-20;0;1195915180,81;2022-11-20;0;952300629,34;-20,3705543151479
"325";"21/11";2019-11-21;12827,98;914040696,26;2020-11-21;0;947185031,66;2021-11-21;0;1195915180,81;2022-11-21;128650,45;952429279,79;-20,3597968256482
"326";"22/11";2019-11-22;54261,49;914094957,75;2020-11-22;0;947185031,66;2021-11-22;145788,58;1196060969,39;2022-11-22;21257,31;952450537,1;-20,3677269407297
"327";"23/11";2019-11-23;0;914094957,75;2020-11-23;62719,03;947247750,69;2021-11-23;38502,93;1196099472,32;2022-11-23;9729,69;952460266,79;-20,3694768845126
"328";"24/11";2019-11-24;0;914094957,75;2020-11-24;567708,78;947815459,47;2021-11-24;38419,39;1196137891,71;2022-11-24;248210,27;952708477,06;-20,3512836051028
"329";"25/11";2019-11-25;4650208,48;918745166,23;2020-11-25;4068912,68;951884372,15;2021-11-25;4487277,77;1200625169,48;2022-11-25;45675,73;952754152,79;-20,6451624529373
"330";"26/11";2019-11-26;14753,47;918759919,7;2020-11-26;21568706,76;973453078,91;2021-11-26;40948209,36;1241573378,84;2022-11-26;0;952754152,79;-23,2623565366586
"331";"27/11";2019-11-27;28731236,46;947491156,16;2020-11-27;137279,43;973590358,34;2021-11-27;0;1241573378,84;2022-11-27;0;952754152,79;-23,2623565366586
"332";"28/11";2019-11-28;44520,4;947535676,56;2020-11-28;0;973590358,34;2021-11-28;0;1241573378,84;2022-11-28;30051,32;952784204,11;-23,2599361142726
"333";"29/11";2019-11-29;461416,35;947997092,91;2020-11-29;0;973590358,34;2021-11-29;164927,33;1241738306,17;2022-11-29;19911,15;952804115,26;-23,2685252177799
"334";"30/11";2019-11-30;0;947997092,91;2020-11-30;312784,73;973903143,07;2021-11-30;476270,75;1242214576,92;2022-11-30;0;952804115,26;-23,2979444161392
"335";"1/12";2019-12-01;0;947997092,91;2020-12-01;54909,45;973958052,52;2021-12-01;9842,54;1242224419,46;NA;0;NA;NA
"336";"2/12";2019-12-02;29526,95;948026619,86;2020-12-02;967760,64;974925813,16;2021-12-02;185860,24;1242410279,7;NA;0;NA;NA
"337";"3/12";2019-12-03;41599,18;948068219,04;2020-12-03;87351,7;975013164,86;2021-12-03;7928713,67;1250338993,37;NA;0;NA;NA
"338";"4/12";2019-12-04;961905,59;949030124,63;2020-12-04;16379062,5;991392227,36;2021-12-04;0;1250338993,37;NA;0;NA;NA
"339";"5/12";2019-12-05;29669010,36;978699134,99;2020-12-05;0;991392227,36;2021-12-05;0;1250338993,37;NA;0;NA;NA
"340";"6/12";2019-12-06;11126265,27;989825400,26;2020-12-06;0;991392227,36;2021-12-06;34491434,75;1284830428,12;NA;0;NA;NA
"341";"7/12";2019-12-07;0;989825400,26;2020-12-07;19637913,94;1011030141,3;2021-12-07;277660,99;1285108089,11;NA;0;NA;NA
"342";"8/12";2019-12-08;0;989825400,26;2020-12-08;3405187,01;1014435328,31;2021-12-08;6516814,56;1291624903,67;NA;0;NA;NA
"343";"9/12";2019-12-09;8976715,08;998802115,34;2020-12-09;9644778,4;1024080106,71;2021-12-09;7123475,06;1298748378,73;NA;0;NA;NA
"344";"10/12";2019-12-10;13995433,31;1012797548,65;2020-12-10;18370397,01;1042450503,72;2021-12-10;25664390,86;1324412769,59;NA;0;NA;NA
"345";"11/12";2019-12-11;616284,64;1013413833,29;2020-12-11;488531,93;1042939035,65;2021-12-11;0;1324412769,59;NA;0;NA;NA
"346";"12/12";2019-12-12;183501,87;1013597335,16;2020-12-12;0;1042939035,65;2021-12-12;0;1324412769,59;NA;0;NA;NA
"347";"13/12";2019-12-13;65268,48;1013662603,64;2020-12-13;0;1042939035,65;2021-12-13;168585,15;1324581354,74;NA;0;NA;NA
"348";"14/12";2019-12-14;0;1013662603,64;2020-12-14;462359,72;1043401395,37;2021-12-14;76750,38;1324658105,12;NA;0;NA;NA
"349";"15/12";2019-12-15;0;1013662603,64;2020-12-15;866032,46;1044267427,83;2021-12-15;956092,92;1325614198,04;NA;0;NA;NA
"350";"16/12";2019-12-16;593398,65;1014256002,29;2020-12-16;24464,32;1044291892,15;2021-12-16;306963,41;1325921161,45;NA;0;NA;NA
"351";"17/12";2019-12-17;71130,03;1014327132,32;2020-12-17;59272,28;1044351164,43;2021-12-17;39555,87;1325960717,32;NA;0;NA;NA
"352";"18/12";2019-12-18;76296,65;1014403428,97;2020-12-18;4664840,01;1049016004,44;2021-12-18;0;1325960717,32;NA;0;NA;NA
"353";"19/12";2019-12-19;4219079,74;1018622508,71;2020-12-19;0;1049016004,44;2021-12-19;0;1325960717,32;NA;0;NA;NA
"354";"20/12";2019-12-20;6600518,76;1025223027,47;2020-12-20;0;1049016004,44;2021-12-20;3995951,66;1329956668,98;NA;0;NA;NA
"355";"21/12";2019-12-21;0;1025223027,47;2020-12-21;332076,17;1049348080,61;2021-12-21;7167053,37;1337123722,35;NA;0;NA;NA
"356";"22/12";2019-12-22;0;1025223027,47;2020-12-22;82274,19;1049430354,8;2021-12-22;12633,22;1337136355,57;NA;0;NA;NA
"357";"23/12";2019-12-23;266052,28;1025489079,75;2020-12-23;52888,58;1049483243,38;2021-12-23;1248541,9;1338384897,47;NA;0;NA;NA
"358";"24/12";2019-12-24;58604,2;1025547683,95;2020-12-24;40428,92;1049523672,3;2021-12-24;2407,62;1338387305,09;NA;0;NA;NA
"359";"25/12";2019-12-25;0;1025547683,95;2020-12-25;0;1049523672,3;2021-12-25;0;1338387305,09;NA;0;NA;NA
"360";"26/12";2019-12-26;15993358,64;1041541042,59;2020-12-26;0;1049523672,3;2021-12-26;0;1338387305,09;NA;0;NA;NA
"361";"27/12";2019-12-27;242316,12;1041783358,71;2020-12-27;0;1049523672,3;2021-12-27;64835,59;1338452140,68;NA;0;NA;NA
"362";"28/12";2019-12-28;0;1041783358,71;2020-12-28;14302693,51;1063826365,81;2021-12-28;32455384,04;1370907524,72;NA;0;NA;NA
"363";"29/12";2019-12-29;0;1041783358,71;2020-12-29;253448,47;1064079814,28;2021-12-29;138520,4;1371046045,12;NA;0;NA;NA
"364";"30/12";2019-12-30;1088797,94;1042872156,65;2020-12-30;740262,64;1064820076,92;2021-12-30;341336,47;1371387381,59;NA;0;NA;NA
"365";"31/12";2019-12-31;2672,93;1042874829,58;2020-12-31;1,54;1064820078,46;2021-12-31;345,03;1371387726,62;NA;0;NA;NA
